,ma_khach_hang,ngay_binh_luan,gio_binh_luan,ma_san_pham,word_pro3,so_sao,word_pro4,negative_words,negative_count,positive_words,positive_count,star_cleaned,joined_positive_words,joined_negative_words
21,1281,11/10/2021,12:13,204900005,tiền,5,tiền,[],0,[],0,5,,
22,3417,30/06/2022,22:32,351700026,mùi tự_nhiên hạt nhẹ không_rát không_kích_ứng mỏng thử bé tí_í giùm mỏi_mắt,5,mùi tự nhiên hạt nhẹ không rát không kích ứng mỏng thử bé tí í giùm mỏi mắt,['rát'],1,['nhẹ'],1,5,nhẹ,rát
23,1268,18/09/2024,12:03,204900056,sạch không_bị khô sạch dầu,5,sạch không bị khô sạch dầu,[],0,[],0,5,,
24,1360,3/7/2024,8:06,422208328,trời làn hiệu_quả trông tốt_điểm,5,trời làn hiệu quả trông tốt điểm,[],0,"['hiệu quả', 'tốt']",2,5,"hiệu_quả, tốt",
25,2255,12/10/2021,21:48,357100011,quan_điểm dùng_tích giá rẻ_hợp học_viên đơn_giản sạch mùi thơm nhạy_cảm hương_liệu cân_nhắc bọt mịn,5,quan điểm dùng tích giá rẻ hợp học viên đơn giản sạch mùi thơm nhạy cảm hương liệu cân nhắc bọt mịn,[],0,"['hợp', 'thơm', 'mịn']",3,5,"hợp, thơm, mịn",
26,2647,15/02/2022,14:41,422203300,viền_sắc rát_mặt xước,2,viền sắc rát mặt xước,['rát'],1,[],0,1,,rát
27,3508,1/10/2021,4:50,386000044,hàng chuẩn hàng đắp thích mướt mịn hẳn,5,hàng chuẩn hàng đắp thích mướt mịn hẳn,[],0,"['thích', 'mịn']",2,5,"thích, mịn",
28,2484,10/3/2022,16:20,422204388,chống nắng ưng tệp màu tán không_bị trôi đổ mồ_hôi,5,chống nắng ưng tệp màu tán không bị trôi đổ mồ hôi,[],0,['ưng'],1,5,ưng,
29,4003,31/05/2022,13:52,422205673,dầu không_bị khô sạch hẳn cũ,5,dầu không bị khô sạch hẳn cũ,[],0,[],0,5,,
30,3626,30/10/2024,17:25,343100024,nhạy_cảm hỗn_hợp thiên_khô êm không_kích_ứng nâng tone một_chút tự_nhiên mỏng nhẹ không_nặng mắt,5,nhạy cảm hỗn hợp thiên khô êm không kích ứng nâng tone một chút tự nhiên mỏng nhẹ không nặng mắt,[],0,"['hợp', 'êm', 'nhẹ']",3,5,"hợp, êm, nhẹ",
31,3176,10/7/2020,22:49,345800001,hài_lòng dưỡng tốt,5,hài lòng dưỡng tốt,[],0,"['hài lòng', 'tốt']",2,5,"hài_lòng, tốt",
33,681,30/04/2023,15:02,204100019,mùi hương dễ_chịu mát,5,mùi hương dễ chịu mát,[],0,"['dễ chịu', 'mát']",2,5,"dễ_chịu, mát",
34,319,7/7/2024,23:26,422204167,kiểu tách á_loại thời_tiết lạnh ổn dầu mụn típ quây dưỡng ổn,4,kiểu tách á loại thời tiết lạnh ổn dầu mụn típ quây dưỡng ổn,[],0,"['ổn', 'ổn']",2,5,"ổn, ổn",
35,132,25/05/2023,11:14,422212331,tốt đường viền chắn chắn không_xơ_tưa mềm,5,tốt đường viền chắn chắn không xơ tưa mềm,[],0,['tốt'],1,5,tốt,
36,2723,9/6/2023,13:34,248700035,dạng thắm,3,dạng thắm,[],0,[],0,5,,
37,575,29/05/2024,9:02,253900006,thử cực_cực cực_kì hài_lòng chống nắng tốt nâng tông không_gây khó_chịu làn khô nhạy_cảm mụn tốt,5,thử cực cực cực kì hài lòng chống nắng tốt nâng tông không gây khó chịu làn khô nhạy cảm mụn tốt,['khó chịu'],1,"['hài lòng', 'tốt', 'nâng tông', 'tốt']",4,5,"hài_lòng, tốt, nâng_tông, tốt",khó_chịu
38,2887,25/01/2021,13:49,422202580,liên_tục vòng quan_sát kĩ cải_thiện rõ_rệt chân nám mờ dần đi hẳn texture_lỏng nhẹ thấm cực_kì nhẹ cực_kì thích packaging_thủy nặng_thông đầy_đủ tiết cộng trừ hị_hị yêu thích_dưỡng trắng thâm_nám nhẹ thường_xuyên hẳn,5,liên tục vòng quan sát kĩ cải thiện rõ rệt chân nám mờ dần đi hẳn texture lỏng nhẹ thấm cực kì nhẹ cực kì thích packaging thủy nặng thông đầy đủ tiết cộng trừ hị hị yêu thích dưỡng trắng thâm nám nhẹ thường xuyên hẳn,['thâm'],1,"['cải thiện', 'nhẹ', 'nhẹ', 'thích', 'yêu', 'thích', 'trắng', 'nhẹ']",8,5,"cải_thiện, nhẹ, nhẹ, thích, yêu, thích, trắng, nhẹ",thâm
39,677,3/5/2023,18:31,200400004,thích hasaki tẩy,5,thích hasaki tẩy,[],0,['thích'],1,5,thích,
40,2344,1/5/2023,20:04,308500004,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
41,2893,1/2/2021,13:41,422202580,bì đẹp thấm tông trắng lọ tông hẳn màu kèm ẩm tốt,5,bì đẹp thấm tông trắng lọ tông hẳn màu kèm ẩm tốt,[],0,"['trắng', 'tốt']",2,5,"trắng, tốt",
42,182,28/05/2022,14:22,422204259,tẩy tốt quà tặng kèm chưng,4,tẩy tốt quà tặng kèm chưng,[],0,['tốt'],1,5,tốt,
43,3810,14/05/2024,8:44,422209048,lọ_dưỡng ẩm hủ_thấm ghê,5,lọ dưỡng ẩm hủ thấm ghê,[],0,[],0,5,,
44,1637,24/07/2024,11:32,100160022,khô_nhiên vichy_dưỡng ẩm_serum bình_thường dễ_tán laroch cũ nâng tông tầm nửa_tông khô bôi ẩm không_bị khô căng,5,khô nhiên vichy dưỡng ẩm serum bình thường dễ tán laroch cũ nâng tông tầm nửa tông khô bôi ẩm không bị khô căng,[],0,['nâng tông'],1,5,nâng_tông,
45,706,28/04/2023,18:32,100230064,thích hasaki tẩy,5,thích hasaki tẩy,[],0,['thích'],1,5,thích,
46,414,30/03/2023,13:04,422208976,bộ_tế click hasaki gửi khảo hãng,5,bộ tế click hasaki gửi khảo hãng,[],0,[],0,5,,
47,441,12/11/2022,10:11,249500027,truóc ổn lắm mùi cồn nồng_nặc,4,truóc ổn lắm mùi cồn nồng nặc,"['mùi cồn', 'nồng']",2,['ổn'],1,5,ổn,"mùi_cồn, nồng"
48,1469,5/1/2022,1:03,204900056,hợp dầu mắc,4,hợp dầu mắc,[],0,['hợp'],1,5,hợp,
49,380,22/04/2024,15:21,422208976,dầu nổi mụn cerave foaming_năng item không_chăm đi bác_sĩ khuyên,5,dầu nổi mụn cerave foaming năng item không chăm đi bác sĩ khuyên,[],0,[],0,5,,
50,2019,20/11/2022,17:14,249500019,chống nắng giá bình_dân tán nâng toner nhẹ tự_nhiên,5,chống nắng giá bình dân tán nâng toner nhẹ tự nhiên,[],0,['nhẹ'],1,5,nhẹ,
51,777,20/09/2021,16:36,100230057,bàn_thích dịch_vụ hàng hasaki dịch hàng tỉnh,5,bàn thích dịch vụ hàng hasaki dịch hàng tỉnh,[],0,['thích'],1,5,thích,
52,787,22/06/2021,8:29,100230057,cực thích dịu nhẹ hợp tẩy mỏng nhẹ dày lì nhớ_tẩy,5,cực thích dịu nhẹ hợp tẩy mỏng nhẹ dày lì nhớ tẩy,[],0,"['thích', 'dịu nhẹ', 'hợp', 'nhẹ']",4,5,"thích, dịu_nhẹ, hợp, nhẹ",
53,2528,15/07/2021,8:34,343700002,dầu dầu mụn cân_nhắc chăm_sóc thuốc đặc_trị mụn bôi ẩm lâu_thấm cực_kì tối bôi lớp mỏng thôi_tóm_lại dầu mụn,3,dầu dầu mụn cân nhắc chăm sóc thuốc đặc trị mụn bôi ẩm lâu thấm cực kì tối bôi lớp mỏng thôi tóm lại dầu mụn,[],0,['trị mụn'],1,5,trị_mụn,
54,201,18/06/2022,9:17,422204259,tốt quà tặng tưởng,4,tốt quà tặng tưởng,[],0,['tốt'],1,5,tốt,
55,378,31/05/2024,22:45,422208974,dầu dầu cetaphil tiết_kiệm hợp_lý cetaphil dùng_tích tương_đương,4,dầu dầu cetaphil tiết kiệm hợp lý cetaphil dùng tích tương đương,[],0,['hợp'],1,5,hợp,
56,223,14/02/2022,20:59,205100136,tẩy sạch lớp dầu ẩm không_bị khô,5,tẩy sạch lớp dầu ẩm không bị khô,[],0,['tẩy sạch'],1,5,tẩy_sạch,
57,1467,10/2/2022,7:41,204900004,hợp bọt siêu_thích giá,5,hợp bọt siêu thích giá,[],0,"['hợp', 'thích']",2,5,"hợp, thích",
58,1487,10/1/2021,12:01,204900004,cực_thích lâu_dài,5,cực thích lâu dài,[],0,['thích'],1,5,thích,
59,324,12/9/2020,17:15,245500009,mùi trái_cây thơm nhẹ_tẩy chết dịu nhẹ không_làm khô giá_cả,5,mùi trái cây thơm nhẹ tẩy chết dịu nhẹ không làm khô giá cả,[],0,"['thơm', 'nhẹ', 'dịu nhẹ']",3,5,"thơm, nhẹ, dịu_nhẹ",
60,142,30/04/2023,12:02,422206648,kích_ứng alcohol tẩy êm_tẩy chống nắng lớp sạch,5,kích ứng alcohol tẩy êm tẩy chống nắng lớp sạch,[],0,['êm'],1,5,êm,
61,2553,9/11/2020,16:19,204100018,acne đóng_gói k hàng tiếc lỡ mụn giải_quyết dầu nhờn thâm_lỗ chân_lông,5,acne đóng gói k hàng tiếc lỡ mụn giải quyết dầu nhờn thâm lỗ chân lông,"['nhờn', 'thâm']",2,[],0,5,,"nhờn, thâm"
62,1245,11/6/2023,13:56,422212331,tẩy thích,5,tẩy thích,[],0,['thích'],1,5,thích,
63,2336,2/5/2023,16:23,422205163,dễ_dàng thoải_mái thư_giản,5,dễ dàng thoải mái thư giản,[],0,"['dễ dàng', 'thoải mái']",2,5,"dễ_dàng, thoải_mái",
64,3362,22/06/2019,10:13,201600019,vichy thích lám_mát cự_k thấm cảm_giác khô_thoáng nhẹ,5,vichy thích lám mát cự k thấm cảm giác khô thoáng nhẹ,[],0,"['thích', 'mát', 'nhẹ']",3,5,"thích, mát, nhẹ",
65,2434,27/02/2021,20:52,422205164,nhạy_cảm mask cực_hợp tiếc mask hàng chờ_đợi mãi mask hàng hasaki mẫu mask,5,nhạy cảm mask cực hợp tiếc mask hàng chờ đợi mãi mask hàng hasaki mẫu mask,[],0,['hợp'],1,5,hợp,
66,2523,20/08/2023,14:23,200500293,môi thâm thời không_đổi,5,môi thâm thời không đổi,['thâm'],1,[],0,5,,thâm
67,1282,11/10/2021,9:44,422216603,đi_lại mãi hoài không_thôi,5,đi lại mãi hoài không thôi,[],0,[],0,5,,
68,742,16/09/2022,13:35,200400003,tặng bông_tẩy hàng tặng,4,tặng bông tẩy hàng tặng,[],0,[],0,5,,
69,1370,15/04/2023,16:18,318900002,ẩm_ổn vết thâm mờ tốt thâm cũ mờ,3,ẩm ổn vết thâm mờ tốt thâm cũ mờ,"['thâm', 'thâm']",2,"['ổn', 'tốt']",2,5,"ổn, tốt","thâm, thâm"
70,384,29/10/2023,9:58,422212097,siêu_cấp nhạy_cảm chống nắng kích_ứng lập_tức không_hề lọ mụn lớp đẹp ráo_mặt không_vân không_dễ trôi đi mồ_hôi trôi sạch không_đổ mồ_hôi mùi cồn mắt ưng vô_cùng làn mụn tẩy,5,siêu cấp nhạy cảm chống nắng kích ứng lập tức không hề lọ mụn lớp đẹp ráo mặt không vân không dễ trôi đi mồ hôi trôi sạch không đổ mồ hôi mùi cồn mắt ưng vô cùng làn mụn tẩy,"['tức', 'mùi cồn']",2,['ưng'],1,5,ưng,"tức, mùi_cồn"
71,1061,15/08/2023,0:07,422204910,nắp hồng_dịu nhẹ lành_tính lắm,5,nắp hồng dịu nhẹ lành tính lắm,[],0,['dịu nhẹ'],1,5,dịu_nhẹ,
72,3533,18/12/2022,12:22,422202629,viêm tiết_bã mụn rosacea_xài hầu_như không_hợp hỗn_hợp thiên_khô khô ẩm kích_ứng đỏ hôm nổi vết ngứa kết_hợp dưỡng mỏng nhẹ cerave bioderma cicabio ẩm kết_hợp chất dày hợp nằm máy_lạnh tóm_lại hợp dầu hỗn_hợp thiên_dầu kết_hợp đi ngủ dưỡng ẩm,4,viêm tiết bã mụn rosacea xài hầu như không hợp hỗn hợp thiên khô khô ẩm kích ứng đỏ hôm nổi vết ngứa kết hợp dưỡng mỏng nhẹ cerave bioderma cicabio ẩm kết hợp chất dày hợp nằm máy lạnh tóm lại hợp dầu hỗn hợp thiên dầu kết hợp đi ngủ dưỡng ẩm,['không hợp'],1,"['hợp', 'hợp', 'hợp', 'nhẹ', 'hợp', 'hợp', 'hợp', 'hợp', 'hợp']",9,5,"hợp, hợp, hợp, nhẹ, hợp, hợp, hợp, hợp, hợp",không_hợp
73,469,10/5/2023,13:14,204900013,chống nắng tặng thời_hạn,5,chống nắng tặng thời hạn,[],0,[],0,5,,
74,306,3/1/2021,10:11,205100146,tẩy sạch giá,4,tẩy sạch giá,[],0,['tẩy sạch'],1,5,tẩy_sạch,
75,421,14/11/2022,7:43,422208975,hỗn_hợp thiên_dầu ẻm không_hề khô căng dạng suốt bọt mụn_ẩn trộm_vía không_bị đẩy mụn giá,5,hỗn hợp thiên dầu ẻm không hề khô căng dạng suốt bọt mụn ẩn trộm vía không bị đẩy mụn giá,[],0,['hợp'],1,5,hợp,
76,270,27/03/2022,19:06,327500002,thâm_mờ hẳn đỡ mụn viêm kiên_trì tuần hẳn,5,thâm mờ hẳn đỡ mụn viêm kiên trì tuần hẳn,['thâm'],1,[],0,5,,thâm
77,2382,29/04/2023,12:40,308500015,nhẹ_nhàng thoải_mái thư_giãn,5,nhẹ nhàng thoải mái thư giãn,[],0,"['nhẹ', 'thoải mái', 'thư giãn']",3,5,"nhẹ, thoải_mái, thư_giãn",
78,1490,2/11/2020,11:57,204900056,cảm_giác sạch nhẹ_tênh bọt mịn thơm cực thích,5,cảm giác sạch nhẹ tênh bọt mịn thơm cực thích,[],0,"['nhẹ', 'mịn', 'thơm', 'thích']",4,5,"nhẹ, mịn, thơm, thích",
79,2498,3/5/2023,18:13,422206537,mùi hương dễ_chịu mát ổn,5,mùi hương dễ chịu mát ổn,[],0,"['dễ chịu', 'mát', 'ổn']",3,5,"dễ_chịu, mát, ổn",
80,1972,20/07/2023,19:01,100150059,mát dịu thích lắm giá thích_hợp cho_viên,5,mát dịu thích lắm giá thích hợp cho viên,[],0,"['mát', 'thích', 'thích', 'hợp']",4,5,"mát, thích, thích, hợp",
81,1348,22/05/2021,13:24,422207414,chất màu tím chất sửa màu hồng_nhạt mùi dê mỏng nhẹ không_bị đổ dầu,5,chất màu tím chất sửa màu hồng nhạt mùi dê mỏng nhẹ không bị đổ dầu,[],0,['nhẹ'],1,5,nhẹ,
83,679,2/5/2023,10:00,422205164,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
84,138,2/7/2023,20:04,422205809,đắp mê,5,đắp mê,[],0,[],0,5,,
85,1394,5/10/2021,12:11,422200305,dầu mụn mát nhẹ tối chảy dầu mụn cồn,3,dầu mụn mát nhẹ tối chảy dầu mụn cồn,[],0,"['mát', 'nhẹ']",2,5,"mát, nhẹ",
86,350,6/8/2022,14:11,422203301,ổn không_bị,5,ổn không bị,[],0,['ổn'],1,5,ổn,
87,715,20/04/2023,10:06,200400004,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
88,1734,20/11/2023,10:08,100220037,mùi dễ_chịu,5,mùi dễ chịu,[],0,['dễ chịu'],1,5,dễ_chịu,
89,3854,28/03/2022,14:56,100210020,lọ nhỏ_xíu giá đắt lọ hiệu_quả thất_vọng,1,lọ nhỏ xíu giá đắt lọ hiệu quả thất vọng,"['đắt', 'thất vọng']",2,['hiệu quả'],1,1,hiệu_quả,"đắt, thất_vọng"
90,2241,10/10/2023,20:20,206400009,lọ thử trắng mịn kiếm mãi hợp_mặt nhạy_cảm lọ,5,lọ thử trắng mịn kiếm mãi hợp mặt nhạy cảm lọ,[],0,"['trắng', 'mịn', 'hợp']",3,5,"trắng, mịn, hợp",
91,689,1/5/2023,9:30,204100019,thành ổn,5,thành ổn,[],0,['ổn'],1,5,ổn,
92,140,13/12/2023,23:42,204100078,treatment tretinoin khô nhạy_cảm xịt_khoáng ẩm dịu không_thôi mà_còn chất dịu ưng vòi xịt sương thấm,5,treatment tretinoin khô nhạy cảm xịt khoáng ẩm dịu không thôi mà còn chất dịu ưng vòi xịt sương thấm,[],0,['ưng'],1,5,ưng,
94,35,17/04/2023,13:48,100230059,hiệu_quả cực_kì,5,hiệu quả cực kì,[],0,['hiệu quả'],1,5,hiệu_quả,
95,4319,11/4/2020,17:53,223600032,lỏng đổ rahari_cẩn hiệu trắng,4,lỏng đổ rahari cẩn hiệu trắng,[],0,['trắng'],1,5,trắng,
96,403,15/04/2023,20:27,422208972,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
97,616,27/03/2022,2:21,253900006,chống nắng ổn kháng_bụi không_nặng thấm không_lên tông_trừ hương_liệu gắt không_hợp,4,chống nắng ổn kháng bụi không nặng thấm không lên tông trừ hương liệu gắt không hợp,['không hợp'],1,"['ổn', 'lên tông', 'hợp']",3,5,"ổn, lên_tông, hợp",không_hợp
98,1162,2/9/2023,17:31,422217292,bình_thường finish đẹp hôm ẩm khô tróc_đồ nhẹ,4,bình thường finish đẹp hôm ẩm khô tróc đồ nhẹ,[],0,['nhẹ'],1,5,nhẹ,
99,2438,8/11/2020,0:07,422205162,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
100,2466,18/06/2019,16:19,422205160,hàng review,5,hàng review,[],0,[],0,5,,
101,236,30/11/2021,21:32,422204259,đỉnh,5,đỉnh,[],0,['đỉnh'],1,5,đỉnh,
102,3338,4/10/2019,19:19,223600010,chống nắng tốt mỏng nhẹ thấm mùi cồn,4,chống nắng tốt mỏng nhẹ thấm mùi cồn,['mùi cồn'],1,"['tốt', 'nhẹ']",2,5,"tốt, nhẹ",mùi_cồn
103,1453,20/08/2022,11:48,204900159,dầu sữa_rửa sạch sâu khô_bênh cánh mũi tróc_nguyên căng,3,dầu sữa rửa sạch sâu khô bênh cánh mũi tróc nguyên căng,[],0,[],0,5,,
104,2427,2/6/2021,12:25,422202253,đắp đốt mụn sưng hẵn sạch sợi bã,5,đắp đốt mụn sưng hẵn sạch sợi bã,[],0,[],0,5,,
105,341,14/03/2020,15:54,422211446,tẩy hậu_cảm tốt nhất_ý cảm_giác tự_nhiên không_nhờn_rít mùi khó_chịu dễ_tính mùi không_khó_chịu mát_mịn rẻ hậu_cảm tốt,5,tẩy hậu cảm tốt nhất ý cảm giác tự nhiên không nhờn rít mùi khó chịu dễ tính mùi không khó chịu mát mịn rẻ hậu cảm tốt,"['nhờn rít', 'khó chịu', 'khó chịu']",3,"['tốt', 'mát', 'mịn', 'tốt']",4,5,"tốt, mát, mịn, tốt","nhờn_rít, khó_chịu, khó_chịu"
106,56,1/8/2022,22:43,318900012,ẩm tốt dịu nhẹ nhạy_cảm không_mùi thích,5,ẩm tốt dịu nhẹ nhạy cảm không mùi thích,[],0,"['tốt', 'dịu nhẹ', 'thích']",3,5,"tốt, dịu_nhẹ, thích",
107,2456,10/2/2020,16:15,308500013,mặt_nạ đắp hiệu_quả miếng đắp thử đắp trắng trông,5,mặt nạ đắp hiệu quả miếng đắp thử đắp trắng trông,[],0,"['hiệu quả', 'trắng']",2,5,"hiệu_quả, trắng",
108,966,29/03/2023,15:47,357100004,hỗn_hợp dầu chữ khô má dịu nhẹ ẩm tốt nhé_bình hết_nhiên vòi bơm giăng,5,hỗn hợp dầu chữ khô má dịu nhẹ ẩm tốt nhé bình hết nhiên vòi bơm giăng,[],0,"['hợp', 'dịu nhẹ', 'tốt']",3,5,"hợp, dịu_nhẹ, tốt",
109,2986,7/8/2023,16:06,422200342,tiện_lợi thử ngứa_mẫn đỏ retinol không_đủ ẩm_xài đỡ thử bé tư_vấn tốt nhiệt_tình,5,tiện lợi thử ngứa mẫn đỏ retinol không đủ ẩm xài đỡ thử bé tư vấn tốt nhiệt tình,[],0,"['tiện lợi', 'tốt']",2,5,"tiện_lợi, tốt",
110,1711,6/5/2024,7:14,100220035,bha êm cảm_giác châm chích khô rát khô thích bôi cảm_giác dầu dậy mướt mọng không_bị khô kiên_trì mụn sạch lỗ chân lông,5,bha êm cảm giác châm chích khô rát khô thích bôi cảm giác dầu dậy mướt mọng không bị khô kiên trì mụn sạch lỗ chân lông,"['châm chích', 'rát']",2,"['êm', 'thích']",2,5,"êm, thích","châm_chích, rát"
111,2749,13/10/2022,20:51,331300002,dâu thích không_bị khô tiếp,5,dâu thích không bị khô tiếp,[],0,['thích'],1,5,thích,
112,676,17/01/2023,16:16,226200018,hàng không_khác,3,hàng không khác,[],0,[],0,5,,
113,1495,30/04/2020,20:11,204900159,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
114,2753,11/6/2022,12:45,422211276,tốt mỏng mịn thấm chống nắng,5,tốt mỏng mịn thấm chống nắng,[],0,"['tốt', 'mịn']",2,5,"tốt, mịn",
115,704,28/04/2023,18:42,100230057,thích hasaki tẩy,5,thích hasaki tẩy,[],0,['thích'],1,5,thích,
116,2140,21/02/2024,8:23,422209841,hôm shop yên_tâm kiếm số_lượng đơn hàng hàng hộp mác dấu_hiệu nhắn shop phản_hồi không_hơi,4,hôm shop yên tâm kiếm số lượng đơn hàng hàng hộp mác dấu hiệu nhắn shop phản hồi không hơi,[],0,[],0,5,,
118,2796,24/09/2024,15:13,100180113,bác_sĩ thẩm_mĩ liễu bôi lazer dịu nhẹ hiệu_quả,5,bác sĩ thẩm mĩ liễu bôi lazer dịu nhẹ hiệu quả,[],0,"['dịu nhẹ', 'hiệu quả']",2,5,"dịu_nhẹ, hiệu_quả",
119,253,12/8/2021,8:37,205100146,không_đọc k chữ tảy tặng hàng hasaki giá_cả hợp_lý hàng hãng yên_tâm,4,không đọc k chữ tảy tặng hàng hasaki giá cả hợp lý hàng hãng yên tâm,[],0,['hợp'],1,5,hợp,
120,691,30/04/2023,16:45,204100054,mùi hương dễ_chịu mát ổn,5,mùi hương dễ chịu mát ổn,[],0,"['dễ chịu', 'mát', 'ổn']",3,5,"dễ_chịu, mát, ổn",
121,701,29/04/2023,18:34,100230064,thích hasaki tẩy,5,thích hasaki tẩy,[],0,['thích'],1,5,thích,
122,1220,25/10/2020,13:38,422217292,shop,5,shop,[],0,[],0,5,,
123,2195,23/08/2022,7:32,249500028,tặng kèm,4,tặng kèm,[],0,[],0,5,,
124,4038,19/01/2021,0:34,365000013,miếng mask dão không_ôm khuôn_mặt cương ngọc thích,5,miếng mask dão không ôm khuôn mặt cương ngọc thích,[],0,['thích'],1,5,thích,
125,2308,2/8/2024,21:59,422205164,rât_hợp dầu mụn,5,rât hợp dầu mụn,[],0,['hợp'],1,5,hợp,
126,2385,29/04/2023,11:21,204100019,mùi hương dễ_chịu mát ổn,3,mùi hương dễ chịu mát ổn,[],0,"['dễ chịu', 'mát', 'ổn']",3,5,"dễ_chịu, mát, ổn",
127,2327,3/5/2023,17:48,204100019,mùi hương dễ_chịu lành_tính rẻ,5,mùi hương dễ chịu lành tính rẻ,[],0,['dễ chịu'],1,5,dễ_chịu,
128,145,19/04/2023,20:48,422211446,phẩm tốt túi_tiền hiệu_quả,5,phẩm tốt túi tiền hiệu quả,[],0,"['tốt', 'hiệu quả']",2,5,"tốt, hiệu_quả",
